date	region_code	hospitalized_addition
2020-06-20	North Denmark Region	2
2020-06-21	North Denmark Region	1
2020-06-22	North Denmark Region	2
2020-06-23	North Denmark Region	1
2020-06-24	North Denmark Region	3
2020-06-25	North Denmark Region	1
2020-06-26	North Denmark Region	0
2020-06-27	North Denmark Region	1
2020-06-28	North Denmark Region	4
2020-06-29	North Denmark Region	2
2020-06-30	North Denmark Region	0
2020-07-01	North Denmark Region	0
2020-07-02	North Denmark Region	1
2020-07-03	North Denmark Region	0
2020-07-04	North Denmark Region	0
2020-07-05	North Denmark Region	0
2020-07-06	North Denmark Region	0
2020-07-07	North Denmark Region	1
2020-07-08	North Denmark Region	1
2020-07-09	North Denmark Region	0
2020-07-10	North Denmark Region	2
2020-07-11	North Denmark Region	1
2020-07-12	North Denmark Region	0
2020-07-13	North Denmark Region	0
2020-07-14	North Denmark Region	0
2020-07-15	North Denmark Region	0
2020-07-16	North Denmark Region	0
2020-07-17	North Denmark Region	0
2020-07-18	North Denmark Region	0
2020-07-19	North Denmark Region	0
2020-07-20	North Denmark Region	0
2020-07-21	North Denmark Region	0
2020-07-22	North Denmark Region	0
2020-07-23	North Denmark Region	1
2020-07-24	North Denmark Region	0
2020-07-25	North Denmark Region	0
2020-07-26	North Denmark Region	0
2020-07-27	North Denmark Region	0
2020-07-28	North Denmark Region	0
2020-07-29	North Denmark Region	0
2020-07-30	North Denmark Region	1
2020-07-31	North Denmark Region	0
2020-08-01	North Denmark Region	0
2020-08-02	North Denmark Region	0
2020-08-03	North Denmark Region	0
2020-08-04	North Denmark Region	0
2020-08-05	North Denmark Region	0
2020-08-06	North Denmark Region	1
2020-08-07	North Denmark Region	0
2020-08-08	North Denmark Region	0
2020-08-09	North Denmark Region	0
2020-08-10	North Denmark Region	0
2020-08-11	North Denmark Region	0
2020-08-12	North Denmark Region	1
2020-08-13	North Denmark Region	1
2020-08-14	North Denmark Region	0
2020-08-15	North Denmark Region	0
2020-08-16	North Denmark Region	1
2020-08-17	North Denmark Region	1
2020-08-18	North Denmark Region	0
2020-08-19	North Denmark Region	1
2020-08-20	North Denmark Region	0
2020-08-21	North Denmark Region	2
2020-08-22	North Denmark Region	1
2020-08-23	North Denmark Region	1
2020-08-24	North Denmark Region	0
2020-08-25	North Denmark Region	0
2020-08-26	North Denmark Region	1
2020-08-27	North Denmark Region	0
2020-08-28	North Denmark Region	1
2020-08-29	North Denmark Region	0
2020-08-30	North Denmark Region	0
2020-08-31	North Denmark Region	0
2020-09-01	North Denmark Region	0
2020-09-02	North Denmark Region	0
2020-09-03	North Denmark Region	0
2020-09-04	North Denmark Region	0
2020-09-05	North Denmark Region	2
2020-09-06	North Denmark Region	1
2020-09-07	North Denmark Region	0
2020-09-08	North Denmark Region	1
2020-09-09	North Denmark Region	1
2020-09-10	North Denmark Region	2
2020-09-11	North Denmark Region	1
2020-09-12	North Denmark Region	1
2020-09-13	North Denmark Region	0
2020-09-14	North Denmark Region	2
2020-09-15	North Denmark Region	1
2020-09-16	North Denmark Region	3
2020-09-17	North Denmark Region	3
2020-09-18	North Denmark Region	1
2020-09-19	North Denmark Region	4
2020-09-20	North Denmark Region	1
2020-09-21	North Denmark Region	4
2020-09-22	North Denmark Region	0
2020-09-23	North Denmark Region	3
2020-09-24	North Denmark Region	3
2020-09-25	North Denmark Region	2
2020-09-26	North Denmark Region	1
2020-09-27	North Denmark Region	1
2020-09-28	North Denmark Region	0
2020-09-29	North Denmark Region	2
2020-09-30	North Denmark Region	0
2020-10-01	North Denmark Region	2
2020-10-02	North Denmark Region	3
2020-10-03	North Denmark Region	0
2020-10-04	North Denmark Region	1
2020-10-05	North Denmark Region	2
2020-10-06	North Denmark Region	0
2020-10-07	North Denmark Region	1
2020-10-08	North Denmark Region	0
2020-10-09	North Denmark Region	2
2020-10-10	North Denmark Region	3
2020-10-11	North Denmark Region	2
2020-10-12	North Denmark Region	1
2020-10-13	North Denmark Region	1
2020-10-14	North Denmark Region	2
2020-10-15	North Denmark Region	5
2020-10-16	North Denmark Region	1
2020-10-17	North Denmark Region	1
2020-10-18	North Denmark Region	3
2020-10-19	North Denmark Region	1
2020-10-20	North Denmark Region	1
2020-10-21	North Denmark Region	1
2020-10-22	North Denmark Region	0
2020-10-23	North Denmark Region	4
2020-10-24	North Denmark Region	2
2020-10-25	North Denmark Region	3
2020-10-26	North Denmark Region	3
2020-10-27	North Denmark Region	4
2020-10-28	North Denmark Region	5
2020-10-29	North Denmark Region	4
2020-10-30	North Denmark Region	5
2020-10-31	North Denmark Region	4
2020-11-01	North Denmark Region	0
2020-11-02	North Denmark Region	3
2020-11-03	North Denmark Region	7
2020-11-04	North Denmark Region	6
2020-11-05	North Denmark Region	5
2020-11-06	North Denmark Region	2
2020-11-07	North Denmark Region	4
2020-11-08	North Denmark Region	4
2020-11-09	North Denmark Region	6
2020-11-10	North Denmark Region	2
2020-11-11	North Denmark Region	3
2020-11-12	North Denmark Region	0
2020-11-13	North Denmark Region	3
2020-11-14	North Denmark Region	2
2020-11-15	North Denmark Region	0
2020-11-16	North Denmark Region	4
2020-11-17	North Denmark Region	3
2020-11-18	North Denmark Region	3
2020-11-19	North Denmark Region	1
2020-11-20	North Denmark Region	3
2020-11-21	North Denmark Region	0
2020-11-22	North Denmark Region	4
2020-11-23	North Denmark Region	1
2020-11-24	North Denmark Region	4
2020-11-25	North Denmark Region	5
2020-11-26	North Denmark Region	3
2020-11-27	North Denmark Region	2
2020-11-28	North Denmark Region	3
2020-11-29	North Denmark Region	0
2020-11-30	North Denmark Region	1
2020-12-01	North Denmark Region	2
2020-12-02	North Denmark Region	2
2020-12-03	North Denmark Region	0
2020-12-04	North Denmark Region	2
2020-12-05	North Denmark Region	2
2020-12-06	North Denmark Region	0
2020-12-07	North Denmark Region	1
2020-12-08	North Denmark Region	3
2020-12-09	North Denmark Region	1
2020-12-10	North Denmark Region	1
2020-12-11	North Denmark Region	1
2020-12-12	North Denmark Region	4
2020-12-13	North Denmark Region	3
2020-12-14	North Denmark Region	2
2020-12-15	North Denmark Region	4
2020-12-16	North Denmark Region	6
2020-12-17	North Denmark Region	6
2020-12-18	North Denmark Region	7
2020-12-19	North Denmark Region	10
2020-12-20	North Denmark Region	7
2020-12-21	North Denmark Region	11
2020-12-22	North Denmark Region	8
2020-12-23	North Denmark Region	14
2020-12-24	North Denmark Region	6
2020-12-25	North Denmark Region	4
2020-12-26	North Denmark Region	9
2020-12-27	North Denmark Region	10
2020-12-28	North Denmark Region	8
2020-12-29	North Denmark Region	4
2020-12-30	North Denmark Region	4
2020-12-31	North Denmark Region	11
2021-01-01	North Denmark Region	10
2021-01-02	North Denmark Region	13
2021-01-03	North Denmark Region	12
2021-01-04	North Denmark Region	13
2021-01-05	North Denmark Region	6
2021-01-06	North Denmark Region	7
2021-01-07	North Denmark Region	9
2021-01-08	North Denmark Region	9
2021-01-09	North Denmark Region	7
2021-01-10	North Denmark Region	13
2021-01-11	North Denmark Region	5
2021-01-12	North Denmark Region	5
2021-01-13	North Denmark Region	5
2021-01-14	North Denmark Region	4
2021-01-15	North Denmark Region	6
2021-01-16	North Denmark Region	5
2021-01-17	North Denmark Region	7
2021-01-18	North Denmark Region	11
2021-01-19	North Denmark Region	14
2021-01-20	North Denmark Region	11
2021-01-21	North Denmark Region	7
2021-01-22	North Denmark Region	6
2021-01-23	North Denmark Region	3
2021-01-24	North Denmark Region	8
2021-01-25	North Denmark Region	5
2021-01-26	North Denmark Region	5
2021-01-27	North Denmark Region	3
2021-01-28	North Denmark Region	5
2021-01-29	North Denmark Region	6
2021-01-30	North Denmark Region	5
2021-01-31	North Denmark Region	2
2021-02-01	North Denmark Region	3
2021-02-02	North Denmark Region	6
2021-02-03	North Denmark Region	6
2021-02-04	North Denmark Region	1
2021-02-05	North Denmark Region	3
2021-02-06	North Denmark Region	3
2021-02-07	North Denmark Region	2
2021-02-08	North Denmark Region	4
2021-02-09	North Denmark Region	7
2021-02-10	North Denmark Region	1
2021-02-11	North Denmark Region	1
2021-02-12	North Denmark Region	1
2021-02-13	North Denmark Region	1
2021-02-14	North Denmark Region	1
2021-02-15	North Denmark Region	2
